project_name,organization
Apache Geronimo,IBM
Geronimo,Chariot Solutions
ActiveMQ,Chariot Solutions
Apache ActiveMQ,Chariot Solutions
Apache Camel,Chariot Solutions
ActiveMQ,Chariot Solutions
Camel,Chariot Solutions
Apache Geronimo,Chariot Solutions 
Apache Camel,Chariot Solutions 
Apache Hadoop,Cloudera
Apache Hadoop,Cloudera
Hadoop,Cloudera
Apache Hadoop,Cloudera 
Apache Hadoop,Cloudera 
Apache OpenJPA,Oracle Corporation
Apache OpenJPA,Oracle Corporation
Apache OpenJPA,Oracle Corporation 
Apache OpenJPA,Oracle Corporation 
OpenJPA,Oracle
Sqoop,Cloudera
Sqoop,Cloudera
Db,The Apache Software Foundation
Apache Karaf,Inovex
Apache Aries,Ericsson
Aries,Ericsson
Apache Aries,Ericsson
Apache Whirr,Cloud Conscious
Apache Whirr,Cloud Conscious
Apache Whirr,Cloud Conscious
Apache Whirr,Cloud Conscious
Apache Commons HTTP Client,Intencha
Apache Commons HTTP Client,Intencha 
Apache Axiom,WSO2
Apache Axis,WSO2
Apache Synapse,WSO2
Apache Axiom,WSO2
Apache Axis2,WSO2
Apache Synapse,WSO2
Synapse,WSO2
Hive,Cloudera
Falcon,Inmobi
Ambari,Hortonworks
Apache Axiom,WSO2
Apache Axis,WSO2
Apache Axiom,WSO2
Apache Axis2,WSO2
Apache Camel,SAP
Camel,SAP
Apache Aries,LinkedIn
Apache Geronimo,Chariot Solutions
Apache Geronimo,Chariot Solutions
Apache Aries,LinkedIn
Aries,LinkedIn
Apache Pig,HortonWorks
Apache Pig,HortonWorks
Apache HCatalog,Hortonworks
Apache HCatalog,Hortonworks
Apache HCatalog,Hortonworks
Calcite,Hortonworks
Hive,Hortonworks
Knox,Hortonworks
Oozie,Hortonworks
Pig,HortonWorks
Apache Bigtop,Yahoo! 
Apache Bigtop,Yahoo! 
Apache Hive,Hortonworks
Apache PIG,HortonWorks 
Apache Aries,Ericsson 
Apache Aries,Ericsson
Aries,Ericsson
Apache Aries,IBM
Apache Aries,IBM
Aries,IBM
