num,svn_id,role_on_project,project_name
380,aa0380,Committer,Apache Geronimo
2234,ammulder,NA,Geronimo
7,ammulder,Committer,ActiveMQ
912,ammulder,Committer,Apache ActiveMQ
1206,ammulder,Committer,Apache Camel
1903,ammulder,NA,ActiveMQ
2120,ammulder,NA,Camel
1322,ammulder,Committer,Apache Geronimo
194,ammulder,Committer,Apache Camel
442,atm,PMC,Apache Hadoop
477,atm,Committer,Apache Hadoop
2305,atm,NA,Hadoop
1422,atm,PMC,Apache Hadoop
1464,atm,Committer,Apache Hadoop
625,ab0625,PMC,Apache OpenJPA
633,ab0633,Committer,Apache OpenJPA
1632,ab1632,Committer,Apache OpenJPA
1651,ab1651,PMC,Apache OpenJPA
2578,ab2578,NA,OpenJPA
2714,abe,NA,Sqoop
2715,afine,NA,Sqoop
2182,Army Brown,NA,Db
1595,anierbeck,NA,Apache Karaf
1026,ad1026,Contributor,Apache Aries
2049,ad2049,NA,Aries
47,ad0047,Contributor,Apache Aries
800,adriancole,PMC,Apache Whirr
813,adriancole,Committer,Apache Whirr
1841,adriancole,committer,Apache Whirr
1855,adriancole,PMC,Apache Whirr
292,adrian,Committer,Apache Commons HTTP Client
1292,adrian,Committer,Apache Commons HTTP Client
90,azeez,Committer,Apache Axiom
114,azeez,Committer,Apache Axis
771,azeez,Committer,Apache Synapse
1076,azeez,Committer,Apache Axiom
1101,azeez,Committer,Apache Axis2
1766,azeez,Committer,Apache Synapse
2729,azeez,NA,Synapse
2453,aihuaxu,NA,Hive
2214,ajayyadava,NA,Falcon
1967,ajit,NA,Ambari
102,ajith,Committer,Apache Axiom
134,ajith,Committer,Apache Axis
1088,ajith,Committer,Apache Axiom
1121,ajith,Committer,Apache Axis2
1207,ay,Committer,Apache Camel
2121,ay,NA,Camel
48,al0048,Contributor,Apache Aries
337,al0337,PMC,Apache Geronimo
381,al0381,Committer,Apache Geronimo
1027,al1027,Contributor,Apache Aries
2050,al2050,NA,Aries
658,gates,PMC member,Apache Pig
671,gates,Committer,Apache Pig
872,gates,Committer,Apache HCatalog
873,gates,PPMC,Apache HCatalog
886,gates,Mentor,Apache HCatalog
2112,gates,NA,Calcite
2422,gates,NA,Hive
2512,gates,NA,Knox
2568,gates,NA,Oozie
2611,gates,NA,Pig
1175,gates,committer,Apache Bigtop
1189,gates,mentor,Apache Bigtop
1547,gates,Committer,Apache Hive
1663,gates,PMC member,Apache PIG
49,al0049,Contributor,Apache Aries
1028,al1028,Contributor,Apache Aries
2051,al2051,NA,Aries
50,al0050,PMC,Apache Aries
1029,al1029,PMC,Apache Aries
2052,al2052,NA,Aries
626,al0626,PMC,Apache OpenJPA
634,al0634,Committer,Apache OpenJPA
1633,al1633,Committer,Apache OpenJPA
1652,al1652,PMC,Apache OpenJPA
2579,al2579,NA,OpenJPA
469,tucu,PMC,Apache Hadoop
521,tucu,Committer,Apache Hadoop
2360,tucu,NA,Hadoop
2569,tucu,NA,Oozie
1167,tucu,committer,Apache Bigtop
1455,tucu,PMC,Apache Hadoop
1517,tucu,Committer,Apache Hadoop
1968,alejandro,NA,Ambari
106,alek,Committer,Apache Axiom
141,alek,Committer,Apache Axis
1092,alek,Committer,Apache Axiom
1128,alek,Committer,Apache Axis2
1945,aslom,NA,Airavata
943,akovalenko,PMC,Apache Ambari
1971,akovalenko,NA,Ambari
2282,apresta,NA,Giraph
944,alexantonenko,PMC,Apache Ambari
1972,alexantonenko,NA,Ambari
1006,al1006,Contributor,Apache Accumulo
1887,al1887,NA,Accumulo
2724,posix4e,NA,Sqoop
543,alexparvulescu,Committer,Apache Jackrabbit
2459,alexparvulescu,NA,Jackrabbit
1557,alexparvulescu,Committer,Apache Jackrabbit
1877,shralex,Committer,Apache Zookeeper
2786,shralex,NA,Zookeeper
542,alexkli,Committer,Apache Jackrabbit
2458,alexkli,NA,Jackrabbit
1556,alexkli,Committer,Apache Jackrabbit
366,al0366,Committer,Apache Geronimo
1368,alfonsonishikawa,Committer,Apache Gora
1382,alfonsonishikawa,PMC,Apache Gora
2288,alfonsonishikawa,NA,Gora
1741,aheimoz,Technical Writer,Apache Sling
478,aw,Committer,Apache Hadoop
1465,aw,Committer,Apache Hadoop
475,amarrk,Committer,Apache Hadoop
1461,amarrk,Committer,Apache Hadoop
441,amareshwari,PMC,Apache Hadoop
474,amareshwari,Committer,Apache Hadoop
535,amareshwari,Committer,Apache Hive
2207,amareshwari,NA,Falcon
2301,amareshwari,NA,Hadoop
2430,amareshwari,NA,Hive
1421,amareshwari,PMC,Apache Hadoop
1460,amareshwari,Committer,Apache Hadoop
1534,amareshwari,Committer,Apache Hive
1946,amilaj,NA,Airavata
1742,amitgupt,Java Developer,Apache Sling
2460,amitj,NA,Jackrabbit
2376,acube123,NA,HBase
1396,acube123,Committer,Apache HBase
1168,arcilla,committer,Apache Bigtop
2122,acosentino,NA,Camel
2496,acosentino,NA,Karaf
2660,acosentino,NA,ServiceMix
2760,andreapatricelli,NA,Syncope
1802,an1802,Contributor,Apache Syncope
741,an0741,Contributor,Apache ServiceMix
2692,an2692,NA,ServiceMix
1728,an1728,Contributor,Apache ServiceMix
697,andreas,Committer,Apache ServiceMix
2661,andreas,NA,ServiceMix
1682,andreas,Committer,Apache ServiceMix
798,asavu,PMC,Apache Whirr
810,asavu,Committer,Apache Whirr
1844,asavu,committer,Apache Whirr
1858,asavu,PMC,Apache Whirr
1186,asavu,committer,Apache Bigtop
2757,ashakirin,NA,Syncope
1797,ashakirin,committer,Apache Syncope
812,abayer,Committer,Apache Whirr
1842,abayer,committer,Apache Whirr
1856,abayer,PMC,Apache Whirr
2222,abayer,NA,Flume
2713,abayer,NA,Sqoop
1169,abayer,committer,Apache Bigtop
2629,afchung90,NA,REEF
2024,an2024,NA,Ambari
412,ahart,Committer,Apache Gora
1367,ahart,Committer,Apache Gora
1381,ahart,PMC,Apache Gora
2287,ahart,NA,Gora
694,gatfora,Committer,Apache Sandesha
1679,gatfora,Committer,Apache Sandesha
941,aonishuk,Committer,Apache Ambari
1969,aonishuk,NA,Ambari
51,an0051,PMC,Apache Aries
1030,an1030,PMC,Apache Aries
2053,an2053,NA,Aries
422,apurtell,Committer,Apache Hbase
799,apurtell,PMC,Apache Whirr
811,apurtell,Committer,Apache Whirr
1843,apurtell,committer,Apache Whirr
1857,apurtell,PMC,Apache Whirr
1181,apurtell,committer,Apache Bigtop
1397,apurtell,Committer,Apache HBase
2540,arobinson74,NA,MyFaces
2364,wang,NA,Hadoop
1519,wang,Committer,Apache Hadoop
939,ababiichuk,PMC,Apache Ambari
1965,ababiichuk,NA,Ambari
942,atkach,PMC,Apache Ambari
1970,atkach,NA,Ambari
236,an0236,PMC Member,Apache Click
238,an0238,Committer,Apache Click
1238,an1238,PMC Member,Apache Click
411,ab,Committer,Apache Gora
472,ab,Committer,Apache Hadoop
1366,ab,Committer,Apache Gora
1380,ab,PMC,Apache Gora
2286,ab,NA,Gora
2298,ab,NA,Hadoop
1458,ab,Committer,Apache Hadoop
616,andys,committer,Apache MyFaces
832,andys,committer,Apache Tobago
1621,andys,committer,Apache MyFaces
2553,andys,NA,MyFaces
1808,andys,committer,Apache Tobago
544,angela,Committer,Apache Jackrabbit
2461,angela,NA,Jackrabbit
1558,angela,Committer,Apache Jackrabbit
2570,angeloh,NA,Oozie
2607,niket486,NA,Pig
1659,aniket486,Committer,Apache PIG
2598,an2598,NA,Phoenix
137,u137,Committer,Apache Axis
1124,u1124,Committer,Apache Axis2
2639,an2639,NA,Sentry
2599,an2599,NA,Phoenix
2377,anoopsamjohn,NA,HBase
1398,anoopsamjohn,Committer,Apache HBase
774,antelder,Committer,Apache Synapse
1769,antelder,Committer,Apache Synapse
2732,antelder,NA,Synapse
990,antoine,PMC,Apache ANT
2123,astefanutti,NA,Camel
2565,asanso,NA,Oltu
1743,asanso,Java Developer,Apache Sling
2300,adhoot,NA,Hadoop
2632,anupam,NA,REEF
111,an0111,Contributor,Apache Axiom
155,an0155,Contributor,Apache Axis
1098,an1098,Contributor,Apache Axiom
1142,an1142,Contributor,Apache Axis2
2297,apgiannakidis,NA,Gora
1973,avijayan,NA,Ambari
545,ard,Committer,Apache Jackrabbit
2462,ard,NA,Jackrabbit
1559,ard,Committer,Apache Jackrabbit
2302,arp,NA,Hadoop
1462,arp,Committer,Apache Hadoop
2025,arpit,NA,Ambari
476,arpit,Committer,Apache Hadoop
2303,arpit,NA,Hadoop
1463,arpit,Committer,Apache Hadoop
940,abaranchuk,Committer,Apache Ambari
1966,abaranchuk,NA,Ambari
1904,artnaseef,NA,ActiveMQ
840,ryman,Committer,Apache Woden
1869,ryman,Committer,Apache Woden
440,acmurthy,PMC,Apache Hadoop
473,acmurthy,Committer,Apache Hadoop
2299,acmurthy,NA,Hadoop
1420,acmurthy,PMC,Apache Hadoop
1459,acmurthy,Committer,Apache Hadoop
2640,ar2640,NA,Sentry
2304,asuresh,NA,Hadoop
786,asanka,Committer,Apache Synapse
1781,asanka,Committer,Apache Synapse
2744,asanka,NA,Synapse
783,asankha,Committer,Apache Synapse
1778,asankha,Committer,Apache Synapse
2741,asankha,NA,Synapse
2235,as2235,NA,Geronimo
1323,as1323,Committer,Apache Geronimo
2039,as2039,NA,Ambari
524,athusoo,Committer,Apache Hive
2408,athusoo,NA,Hive
1522,athusoo,PMC,Apache Hive
537,hashutosh,Committer,Apache Hive
660,hashutosh,PMC member,Apache Pig
673,hashutosh,Committer,Apache Pig
870,hashutosh,Committer,Apache HCatalog
875,hashutosh,PPMC,Apache HCatalog
2113,hashutosh,NA,Calcite
2414,hashutosh,NA,Hive
2613,hashutosh,NA,Pig
1526,hashutosh,PMC,Apache Hive
1665,hashutosh,PMC member,Apache PIG
105,ashu,Committer,Apache Axiom
140,ashu,Committer,Apache Axis
1091,ashu,Committer,Apache Axiom
1127,ashu,Committer,Apache Axis2
2562,asitang,NA,Nutch
1947,ate,NA,Airavata
2276,aching,NA,Giraph
367,b.0367,Committer,Apache Geronimo
2237,b.2237,NA,Geronimo
1325,b.1325,Committer,Apache Geronimo
1208,bvahdat,Committer,Apache Camel
2124,bvahdat,NA,Camel
2219,balu,NA,Falcon
562,schans,Committer,Apache Jackrabbit
2484,schans,NA,Jackrabbit
1577,schans,Committer,Apache Jackrabbit
1166,be1166,Committer,Apache Batik
1209,boday,Committer,Apache Camel
2125,boday,NA,Camel
195,boday,Committer,Apache Camel
653,breed,PMC member,Apache Pig
668,breed23,Committer,Apache Pig
284,bspeakmon,Committer,Apache Commons Email
1287,bspeakmon,Committer,Apache Commons Email
1875,breed,PMC,Apache Zookeeper
1876,breed,Committer,Apache Zookeeper
2096,breed,NA,Bookkeeper
2782,breed,NA,Zookeeper
52,be0052,PMC,Apache Aries
1031,be1031,PMC,Apache Aries
2054,be2054,NA,Aries
2183,ber2183,NA,Db
755,bdelacretaz,Committer,Apache Sling
763,bdelacretaz,PMC,Apache Sling
1744,bdelacretaz ,Java Developer,Apache Sling
1757,bdelacretaz ,PMC,Apache Sling
2626,sezgin,NA,REEF
479,bikas,Committer,Apache Hadoop
2306,bikas,NA,Hadoop
1466,bikas,Committer,Apache Hadoop
1210,bibryam,Committer,Apache Camel
2126,bibryam,NA,Camel
410,bi0410,PMC,Apache Gump
320,billbarker,Committer,Apache Commons Modeler
652,billgraham,Committer,Apache Pig
2172,billgraham,NA,Chukwa
2608,billgraham,NA,Pig
1660,billgraham,PMC member,Apache PIG
1162,bi1162,Committer,Apache Batik
1879,bhavanki,NA,Accumulo
1007,bi1007,Contributor,Apache Accumulo
129,u129,Committer,Apache Axis
1116,u1116,Committer,Apache Axis2
2,billie,PMC,Apache Accumulo
4,billie,Committer,Apache Accumulo
945,billie,PMC,Apache Ambari
996,billie,PMC,Apache Accumulo
1001,billie,Committer,Apache Accumulo
1880,billie,NA,Accumulo
1974,billie,NA,Ambari
2552,bsullivan,NA,MyFaces
911,bo0911,Contributor,Apache Syncope
